video_id,element,motion,power,speed,video_summary
43,Luft,zigzag,blau,9.6,"(-0.16687967, -1.468588)"
44,Boden,random,gelb,9.6,"(-0.99259824, -0.309546)"
45,Erde,random,rot,6.9,"(-0.96880203, -1.2269127)"
46,Luft,random,gelb,6.9,"(-3.7251835, -0.0028419853)"
47,Luft,circular,rot,9.6,"(0.077901535, -0.41785237)"
48,Luft,zigzag,grun,9.6,"(0.7245972, 0.18205243)"
49,Wasser,random,rot,9.6,"(1.3473974, 0.9907691)"
50,Wasser,shm,grun,9.6,"(0.7756736, 0.29708123)"
51,Boden,zigzag,gelb,9.6,"(-4.3824697, 2.5773518)"
52,Boden,random,lila,6.9,"(0.77331954, 0.28674945)"
53,Boden,circular,lila,6.9,"(0.7007274, 0.25300094)"
54,Boden,shm,lila,6.9,"(0.7617316, 0.29094285)"
55,Wasser,circular,grun,6.9,"(1.0975459, 0.27151635)"
56,Feuer,linear,rot,9.6,"(4.96731, 0.17408274)"
57,Luft,shm,rot,9.6,"(2.4088202, 1.2307616)"
58,Feuer,zigzag,grun,6.9,"(0.745869, 0.27571896)"
59,Erde,shm,lila,9.6,"(0.79180306, 0.37082416)"
60,Boden,zigzag,lila,9.6,"(0.6975735, 0.27959445)"
61,Boden,linear,blau,6.9,"(0.65476364, 0.028918963)"
62,Luft,circular,grun,6.9,"(1.1375847, 0.24692371)"
63,Luft,circular,blau,9.6,"(-0.21082401, -2.108105)"
64,Erde,zigzag,lila,6.9,"(0.7744292, 0.23168038)"
65,Erde,circular,rot,6.9,"(4.580228, 2.8263752)"
66,Wasser,circular,rot,9.6,"(0.037636835, -0.2896724)"
67,Luft,circular,blau,6.9,"(7.260364, 1.5891122)"
68,Feuer,circular,lila,6.9,"(0.76543444, 0.3926869)"
69,Boden,circular,blau,6.9,"(5.9461927, 0.14489152)"
70,Boden,shm,rot,6.9,"(2.0723128, -2.3492742)"
71,Erde,zigzag,grun,9.6,"(0.6801743, 0.21166593)"
72,Erde,linear,lila,6.9,"(0.7284532, 0.37795568)"
73,Boden,random,blau,6.9,"(1.495272, -1.2081274)"
74,Erde,zigzag,lila,6.9,"(0.68480116, 0.30034208)"
75,Feuer,circular,blau,6.9,"(-1.7692629, 4.168545)"
76,Erde,linear,grun,6.9,"(0.6833825, 0.29983428)"
77,Boden,circular,gelb,9.6,"(-1.6032039, -2.6712465)"
78,Erde,zigzag,rot,9.6,"(0.871687, -0.44911948)"
79,Luft,zigzag,grun,9.6,"(0.71295893, 0.19026345)"
80,Luft,shm,grun,6.9,"(0.8159765, 0.18560652)"
81,Feuer,circular,gelb,9.6,"(-0.68227625, -4.2059464)"
82,Feuer,linear,rot,9.6,"(-0.17281151, 13.208252)"
83,Erde,circular,gelb,6.9,"(-2.4306161, -4.630996)"
84,Wasser,shm,gelb,9.6,"(5.6513143, 1.6277841)"
85,Boden,circular,grun,9.6,"(0.7975736, 0.1475474)"
86,Wasser,zigzag,blau,6.9,"(1.5185311, -0.026784448)"
87,Erde,shm,blau,9.6,"(1.2731459, 0.2517701)"
88,Boden,zigzag,grun,9.6,"(0.6584625, 0.26987275)"
89,Feuer,circular,rot,9.6,"(-0.11922871, -0.6089053)"
90,Erde,shm,blau,9.6,"(1.9875293, 0.17263038)"
91,Wasser,random,blau,9.6,"(0.22614801, -0.49749103)"
92,Wasser,zigzag,grun,9.6,"(0.7236329, 0.1825315)"
93,Boden,circular,rot,6.9,"(-1.0857081, -2.1118321)"
94,Erde,circular,rot,9.6,"(0.013615076, -0.36172238)"
95,Luft,linear,grun,9.6,"(0.60059196, 0.25942764)"
96,Boden,random,blau,6.9,"(-0.005731347, 0.04687961)"
97,Feuer,circular,lila,9.6,"(0.8002188, 0.31449398)"
98,Wasser,shm,lila,6.9,"(0.7554317, 0.31092998)"
99,Luft,random,lila,9.6,"(0.780156, 0.26613614)"
100,Boden,circular,lila,6.9,"(0.7101308, 0.26791865)"
101,Luft,circular,gelb,6.9,"(11.82443, 3.3698456)"
102,Feuer,shm,lila,6.9,"(0.71826863, 0.3883783)"
103,Luft,random,gelb,9.6,"(0.022571523, -2.546293)"
104,Boden,shm,lila,6.9,"(0.72120094, 0.34191626)"
105,Erde,shm,gelb,9.6,"(6.453822, 2.2541585)"
106,Erde,random,blau,6.9,"(-1.0410432, 0.13142893)"
107,Wasser,circular,gelb,9.6,"(-0.62524545, -2.6732852)"
108,Boden,zigzag,gelb,6.9,"(3.6495197, -4.7828226)"
109,Luft,circular,blau,6.9,"(7.3558235, 1.26947)"
110,Erde,linear,rot,9.6,"(0.12609233, 11.653282)"
111,Feuer,random,blau,6.9,"(0.9237599, -0.49491814)"
112,Boden,linear,blau,9.6,"(7.8223357, -4.43733)"
113,Boden,linear,blau,6.9,"(1.277222, -0.31795797)"
114,Luft,circular,gelb,9.6,"(-0.47791606, -2.9462578)"
115,Wasser,shm,blau,9.6,"(1.830753, 0.25663543)"
116,Boden,random,rot,9.6,"(1.2529418, 0.7484187)"
117,Boden,zigzag,blau,9.6,"(-0.8060817, 0.5121335)"
118,Feuer,circular,blau,9.6,"(-0.25785634, -3.1000607)"
119,Wasser,random,grun,9.6,"(0.7437508, 0.27935514)"
120,Boden,shm,blau,6.9,"(1.2497228, -1.5100839)"
121,Feuer,circular,rot,9.6,"(-0.13775258, 1.5253223)"
122,Luft,circular,blau,6.9,"(7.258095, 1.6300207)"
123,Erde,shm,gelb,6.9,"(4.3359504, -4.198595)"
124,Boden,shm,rot,6.9,"(2.0347898, -2.288057)"
125,Boden,circular,gelb,9.6,"(-1.5339617, -2.6282935)"
126,Erde,circular,rot,9.6,"(-0.13830519, 1.3201869)"
127,Luft,zigzag,grun,9.6,"(0.6584388, 0.26826152)"
128,Feuer,shm,gelb,6.9,"(2.3718905, -6.48515)"
129,Wasser,zigzag,lila,6.9,"(0.732126, 0.22457676)"
130,Feuer,linear,blau,9.6,"(-0.532032, 1.6086462)"
131,Wasser,circular,rot,6.9,"(3.7111998, 1.9933723)"
132,Feuer,circular,lila,6.9,"(0.7586386, 0.38154408)"
133,Luft,circular,gelb,9.6,"(-0.22777736, 0.085222244)"
134,Wasser,circular,lila,6.9,"(0.76816976, 0.29609826)"
135,Wasser,linear,gelb,9.6,"(4.265903, 0.21255371)"
136,Boden,zigzag,lila,6.9,"(0.7157119, 0.22813562)"
137,Wasser,shm,rot,9.6,"(2.446794, 1.2255781)"
138,Wasser,circular,gelb,6.9,"(11.400276, 2.8994908)"
139,Boden,circular,gelb,6.9,"(-3.6005774, -2.4724193)"
140,Boden,linear,lila,6.9,"(0.75154823, 0.21404071)"
141,Wasser,circular,blau,9.6,"(-0.04112072, -2.1955888)"
142,Wasser,zigzag,blau,9.6,"(-0.24925226, -1.0409931)"
143,Erde,zigzag,grun,9.6,"(0.7015552, 0.21953037)"
144,Wasser,random,blau,9.6,"(0.87924826, -1.0989695)"
145,Wasser,shm,lila,6.9,"(0.78192836, 0.29226518)"
146,Erde,shm,gelb,9.6,"(6.589078, 2.3976247)"
147,Erde,random,rot,9.6,"(0.6416832, -0.533432)"
148,Feuer,circular,rot,6.9,"(-0.32604015, -3.868783)"
149,Wasser,linear,gelb,9.6,"(-11.766791, -1.9645104)"
150,Erde,circular,grun,9.6,"(0.6890889, 0.18178286)"
151,Feuer,random,gelb,9.6,"(-0.012789647, -0.9396471)"
152,Erde,circular,blau,6.9,"(-1.7218509, 3.4371424)"
153,Erde,zigzag,lila,9.6,"(0.73601073, 0.291343)"
154,Erde,random,grun,6.9,"(0.87165594, 0.084986866)"
155,Boden,circular,lila,6.9,"(0.75303227, 0.31267715)"
156,Luft,random,gelb,6.9,"(-1.6443478, -0.3114958)"
157,Luft,zigzag,grun,6.9,"(0.79009813, 0.19556755)"
158,Boden,shm,gelb,9.6,"(3.034146, 0.52920943)"
159,Boden,zigzag,blau,6.9,"(1.3041704, 0.3559955)"
160,Wasser,linear,rot,9.6,"(1.8352125, -1.8059183)"
161,Boden,circular,lila,6.9,"(0.70706326, 0.26184297)"
162,Luft,shm,blau,6.9,"(1.9037485, -1.3114074)"
163,Luft,zigzag,blau,6.9,"(1.3310561, 0.6409055)"
164,Erde,shm,gelb,9.6,"(3.988458, 6.497091)"
165,Feuer,random,grun,9.6,"(0.9725831, 0.2078538)"
166,Luft,circular,gelb,6.9,"(11.691784, 3.228168)"
167,Wasser,zigzag,gelb,9.6,"(-0.39974588, -2.464673)"
168,Luft,linear,gelb,6.9,"(-0.6936747, 6.2772913)"
169,Erde,circular,gelb,6.9,"(13.941948, 4.4553413)"
170,Boden,linear,rot,9.6,"(1.4002397, -2.6373239)"
171,Feuer,linear,gelb,6.9,"(1.0309703, 6.905178)"
172,Feuer,circular,gelb,6.9,"(-1.8419719, -4.4584785)"
173,Feuer,circular,blau,9.6,"(-0.9873409, -1.8421185)"
174,Luft,linear,lila,6.9,"(0.7237509, 0.3311018)"
175,Feuer,circular,blau,9.6,"(-0.22403117, -3.1444132)"
176,Boden,random,grun,6.9,"(0.829565, 0.1429405)"
177,Boden,zigzag,gelb,6.9,"(-0.28084624, -1.5548301)"
178,Wasser,shm,gelb,9.6,"(3.5812583, 5.1801543)"
179,Boden,linear,lila,9.6,"(0.7212687, 0.25113153)"
180,Boden,shm,lila,6.9,"(0.70333266, 0.32272923)"
181,Feuer,random,grun,6.9,"(0.81688875, 0.39270183)"
182,Boden,shm,gelb,6.9,"(2.0440674, -3.0315557)"
183,Erde,random,lila,9.6,"(0.79661155, 0.3267607)"
184,Feuer,circular,lila,6.9,"(0.7179597, 0.30143216)"
185,Luft,circular,grun,9.6,"(0.83426124, 0.1755896)"
186,Wasser,random,rot,6.9,"(0.69688034, -0.5827271)"
187,Erde,circular,grun,9.6,"(0.68714136, 0.18402414)"
188,Wasser,circular,blau,6.9,"(7.149108, 1.2723147)"
189,Wasser,random,lila,9.6,"(0.7393542, 0.3275698)"
190,Luft,circular,rot,9.6,"(-0.12752487, 1.1415819)"
191,Boden,zigzag,grun,6.9,"(0.76100993, 0.25726333)"
192,Luft,linear,grun,9.6,"(0.685051, 0.28486022)"
193,Boden,random,blau,9.6,"(0.37912402, 0.18948355)"
194,Erde,linear,gelb,9.6,"(5.324759, 0.27273294)"
195,Feuer,circular,blau,6.9,"(9.399164, 2.3661458)"
196,Luft,circular,gelb,6.9,"(-2.2817683, -4.201034)"
197,Erde,circular,grun,6.9,"(0.5354268, 0.36525235)"
198,Erde,circular,blau,6.9,"(8.331547, 1.9737009)"
199,Wasser,random,blau,9.6,"(-0.6705294, -0.6554759)"
200,Erde,circular,lila,9.6,"(0.7973268, 0.28338218)"
201,Boden,circular,grun,9.6,"(0.7057939, 0.19165775)"
202,Feuer,linear,rot,9.6,"(2.7568157, -2.4619346)"
203,Wasser,shm,gelb,6.9,"(4.1250916, -3.751522)"
204,Boden,random,blau,6.9,"(0.35327575, -0.5588243)"
205,Wasser,linear,grun,9.6,"(0.7018413, 0.34763944)"
206,Boden,random,blau,6.9,"(0.07240966, 0.4620228)"
207,Feuer,zigzag,lila,9.6,"(0.7411964, 0.32674065)"
208,Luft,zigzag,grun,9.6,"(0.7128124, 0.17990924)"
209,Wasser,shm,blau,6.9,"(1.9043634, -1.3776197)"
210,Feuer,linear,blau,9.6,"(-0.57713896, -0.9602387)"
211,Erde,shm,rot,9.6,"(2.8290868, 1.5677325)"
212,Wasser,linear,rot,9.6,"(-5.4599233, -1.7815942)"
213,Feuer,circular,rot,9.6,"(-0.09264948, -0.44591293)"
214,Feuer,shm,rot,9.6,"(1.7699246, 4.9122295)"
215,Luft,random,blau,9.6,"(1.1720728, 0.024054637)"
216,Feuer,circular,blau,6.9,"(-1.7641644, 4.184042)"
217,Feuer,random,blau,9.6,"(-0.77406794, -0.1079975)"
218,Erde,random,blau,9.6,"(0.7476749, 0.3438199)"
219,Luft,circular,blau,9.6,"(-0.060701337, -2.1070309)"
220,Wasser,random,blau,9.6,"(1.2701129, -2.288197)"
221,Boden,circular,blau,9.6,"(-0.8531417, -0.9820752)"
222,Boden,circular,lila,6.9,"(0.70235956, 0.25468907)"
223,Erde,circular,lila,6.9,"(0.76330763, 0.35560074)"
224,Erde,shm,lila,9.6,"(0.6977721, 0.42611164)"
225,Wasser,shm,rot,6.9,"(2.3113692, -1.1401558)"
226,Erde,circular,lila,9.6,"(0.718618, 0.3098039)"
227,Boden,circular,lila,9.6,"(0.7321921, 0.27932408)"
228,Wasser,circular,gelb,9.6,"(-0.6446095, -2.3453732)"
229,Luft,circular,gelb,6.9,"(-2.3435245, -4.167234)"
230,Boden,shm,blau,9.6,"(0.81040674, -0.0830736)"
231,Luft,shm,lila,6.9,"(0.7773496, 0.27998486)"
232,Luft,random,blau,6.9,"(1.3160005, -1.2423363)"
233,Wasser,shm,blau,6.9,"(0.41297582, 1.950792)"
234,Feuer,zigzag,lila,6.9,"(0.807063, 0.11532341)"
235,Erde,zigzag,lila,9.6,"(0.742845, 0.27891776)"
236,Erde,linear,grun,9.6,"(0.6193309, 0.24437352)"
237,Erde,circular,blau,9.6,"(-0.7874289, -1.4167727)"
238,Erde,random,grun,6.9,"(0.78607583, 0.21317887)"
239,Luft,random,lila,9.6,"(0.74094325, 0.29439276)"
240,Wasser,random,blau,9.6,"(1.3521414, -2.228892)"
241,Luft,linear,rot,6.9,"(1.1343516, -3.5469074)"
242,Boden,linear,rot,6.9,"(0.6727329, 3.4468658)"
243,Boden,shm,blau,6.9,"(0.2266398, 1.9873344)"
244,Boden,shm,grun,6.9,"(0.6940709, 0.35386944)"
245,Feuer,circular,blau,9.6,"(-0.0972868, -3.3235493)"
246,Erde,circular,blau,9.6,"(-0.16259882, -2.7673035)"
247,Feuer,shm,gelb,6.9,"(4.137947, -4.207061)"
248,Wasser,shm,rot,9.6,"(2.4934123, 1.2353588)"
249,Luft,shm,grun,9.6,"(0.7686238, 0.30505943)"
250,Wasser,zigzag,grun,9.6,"(0.64731115, 0.29167715)"
251,Boden,shm,lila,9.6,"(0.7182787, 0.3080282)"
252,Luft,circular,grun,6.9,"(1.0949167, 0.25614113)"
253,Wasser,circular,grun,6.9,"(0.552399, 0.3607144)"
254,Feuer,circular,blau,6.9,"(-1.7495505, 4.2070117)"
255,Boden,circular,blau,6.9,"(-1.6925287, 2.9066772)"
256,Erde,random,blau,9.6,"(0.4796386, -1.0962666)"
257,Boden,linear,grun,6.9,"(0.7276864, 0.26257715)"
258,Boden,zigzag,grun,6.9,"(0.75743484, 0.20556837)"
259,Erde,circular,rot,6.9,"(-0.53783166, -3.5763192)"
260,Luft,zigzag,lila,6.9,"(0.7907229, 0.20181449)"
261,Feuer,zigzag,grun,6.9,"(0.7428023, 0.22182646)"
262,Wasser,zigzag,rot,6.9,"(1.5238363, -1.4239916)"
263,Luft,circular,lila,9.6,"(0.7848144, 0.2836772)"
264,Luft,circular,lila,6.9,"(0.7790074, 0.2984601)"
265,Feuer,circular,lila,9.6,"(0.8041854, 0.30401373)"
266,Erde,circular,lila,6.9,"(0.7062048, 0.27179518)"
267,Luft,zigzag,rot,6.9,"(2.394806, -4.0975904)"
268,Luft,random,gelb,6.9,"(1.9288013, -1.7072879)"
269,Boden,zigzag,blau,6.9,"(1.1170406, 1.0046588)"
270,Erde,random,lila,6.9,"(0.72858006, 0.28627634)"
271,Boden,linear,blau,6.9,"(1.2794774, 2.0364573)"
272,Feuer,circular,gelb,9.6,"(0.8025412, -0.86450756)"
273,Feuer,random,gelb,6.9,"(-0.7456899, -2.164202)"
274,Feuer,linear,gelb,6.9,"(2.4349632, -4.8019094)"
275,Feuer,zigzag,gelb,6.9,"(-0.33843932, -1.2149544)"
276,Luft,zigzag,lila,6.9,"(0.7759469, 0.20590135)"
277,Boden,random,gelb,6.9,"(-2.9452758, 1.3996319)"
278,Feuer,linear,lila,6.9,"(0.55748403, -0.008895022)"
279,Luft,zigzag,rot,6.9,"(3.002687, -2.0871763)"
280,Feuer,shm,lila,9.6,"(0.6770968, 0.4508593)"
281,Boden,random,gelb,6.9,"(0.96032125, -0.31976295)"
282,Erde,random,lila,9.6,"(0.78288585, 0.3265535)"
283,Boden,zigzag,blau,9.6,"(-0.6145524, -0.007567788)"
284,Boden,shm,grun,6.9,"(0.6889498, 0.35346904)"
285,Feuer,random,gelb,9.6,"(-3.403031, -2.0120478)"
286,Boden,zigzag,lila,9.6,"(0.7031608, 0.25711894)"
287,Feuer,circular,rot,9.6,"(0.07433016, -0.811068)"
288,Luft,random,gelb,6.9,"(3.1394987, -0.20917456)"
289,Wasser,circular,blau,9.6,"(-0.5716739, -0.88023573)"
290,Luft,zigzag,blau,6.9,"(1.7570521, -0.8544071)"
291,Erde,linear,gelb,6.9,"(1.9544075, -4.2267914)"
292,Luft,linear,gelb,6.9,"(1.6399454, -3.830986)"
293,Erde,zigzag,rot,6.9,"(3.6753693, -4.0556755)"
294,Wasser,circular,blau,6.9,"(-1.6443782, 2.7202516)"
295,Feuer,linear,lila,6.9,"(0.55055827, -0.00696913)"
296,Feuer,shm,blau,6.9,"(2.1525455, -1.4182565)"
297,Luft,zigzag,blau,6.9,"(1.390271, 0.50147676)"
298,Wasser,linear,rot,6.9,"(-1.1354712, -6.248483)"
299,Erde,zigzag,rot,9.6,"(-3.6059322, 1.4609456)"
300,Feuer,shm,rot,6.9,"(2.4608183, -4.2579203)"
301,Erde,zigzag,grun,6.9,"(0.764465, 0.19084165)"
302,Boden,circular,lila,9.6,"(0.78765905, 0.2835734)"
303,Luft,linear,rot,9.6,"(1.9135039, -1.8653724)"
304,Luft,zigzag,grun,9.6,"(0.70320004, 0.20990624)"
305,Wasser,circular,grun,6.9,"(0.57887715, 0.31746528)"
306,Erde,zigzag,lila,6.9,"(0.70642394, 0.2981369)"
307,Feuer,shm,rot,6.9,"(2.1787317, -1.4143686)"
308,Wasser,random,rot,6.9,"(1.4529537, -1.6118345)"
309,Feuer,circular,lila,9.6,"(0.7097376, 0.31057212)"
310,Luft,zigzag,grun,9.6,"(0.6610958, 0.2655113)"
311,Wasser,random,rot,9.6,"(-1.836818, 1.9657782)"
312,Luft,shm,lila,6.9,"(0.72336894, 0.3645477)"
313,Feuer,random,rot,6.9,"(0.7434549, 0.25237095)"
314,Erde,linear,grun,6.9,"(0.728787, 0.3221788)"
315,Luft,linear,rot,6.9,"(1.1094389, -3.5318723)"
316,Wasser,circular,rot,9.6,"(-0.1120192, 1.2033297)"
317,Luft,zigzag,gelb,9.6,"(-2.0948243, 2.3151548)"
318,Feuer,zigzag,lila,6.9,"(0.8390827, 0.12745008)"
319,Luft,circular,blau,6.9,"(7.213437, 1.9847832)"
320,Wasser,circular,gelb,9.6,"(-0.6798218, -2.5655444)"
321,Erde,circular,blau,6.9,"(8.426668, 1.5660517)"
322,Boden,circular,lila,9.6,"(0.7736205, 0.28257164)"
323,Boden,circular,lila,9.6,"(0.781079, 0.2624952)"
324,Erde,circular,lila,6.9,"(0.70134884, 0.28868425)"
325,Feuer,shm,rot,6.9,"(2.1950493, -1.4256827)"
326,Wasser,circular,rot,6.9,"(3.6491635, 2.0428567)"
327,Feuer,circular,grun,9.6,"(0.6081259, 0.19361615)"
328,Erde,linear,blau,6.9,"(1.9940982, -0.1278378)"
329,Wasser,shm,rot,6.9,"(2.3736744, -1.1450799)"
330,Boden,circular,grun,6.9,"(0.5774628, 0.36127722)"
331,Erde,circular,rot,6.9,"(4.5343375, 2.9337106)"
332,Luft,random,grun,6.9,"(0.90138245, 0.18126822)"
333,Boden,linear,rot,9.6,"(1.4560468, -2.5576677)"
334,Boden,circular,lila,9.6,"(0.72552794, 0.29430363)"
335,Wasser,linear,gelb,6.9,"(-0.74612355, 6.2457123)"
336,Luft,linear,grun,9.6,"(1.1100221, 0.04981688)"
337,Boden,shm,gelb,9.6,"(1.8314697, 3.2991037)"
338,Feuer,zigzag,blau,9.6,"(-0.47763374, -1.4783812)"
339,Feuer,linear,grun,9.6,"(0.6452931, 0.2245419)"
340,Boden,linear,rot,9.6,"(0.92047614, 8.590715)"
341,Boden,circular,grun,6.9,"(0.55113995, 0.37184563)"
342,Luft,linear,gelb,9.6,"(-1.2847313, 14.747031)"
343,Boden,circular,gelb,9.6,"(-1.5914454, -2.5331192)"
344,Luft,circular,blau,6.9,"(7.307298, 1.1717536)"
345,Erde,linear,blau,9.6,"(-0.24322769, -0.69956094)"
346,Wasser,linear,lila,9.6,"(0.7053826, 0.32910925)"
347,Feuer,random,lila,6.9,"(0.7407626, 0.3173528)"
348,Boden,shm,rot,9.6,"(1.4099512, 0.8660656)"
349,Boden,circular,grun,6.9,"(0.56057453, 0.36841488)"
350,Luft,circular,rot,9.6,"(0.059426125, -0.42486602)"
351,Wasser,random,rot,6.9,"(0.941168, 0.2261498)"
352,Boden,zigzag,grun,9.6,"(0.70585054, 0.21008326)"
353,Luft,random,grun,9.6,"(0.66223174, 0.26326525)"
354,Luft,circular,blau,6.9,"(-1.656858, 2.7643294)"
355,Wasser,shm,rot,9.6,"(1.9528462, 3.119384)"
356,Boden,random,grun,6.9,"(0.7133556, 0.28218636)"
357,Wasser,shm,blau,9.6,"(1.7904153, 0.25900072)"
358,Feuer,shm,lila,6.9,"(0.7244434, 0.3884959)"
359,Boden,random,lila,9.6,"(0.716688, 0.29625887)"
360,Feuer,random,grun,9.6,"(0.70971966, 0.38953772)"
361,Erde,shm,rot,9.6,"(2.8021066, 1.6377101)"
362,Erde,linear,grun,6.9,"(0.68884915, 0.2819392)"
363,Feuer,zigzag,blau,6.9,"(1.670617, 0.43992937)"
364,Erde,random,rot,6.9,"(0.22854182, 1.0250988)"
365,Feuer,shm,blau,6.9,"(2.132644, -1.424648)"
366,Luft,circular,lila,6.9,"(0.7571672, 0.31170598)"
367,Erde,shm,lila,6.9,"(0.7907035, 0.29662222)"
368,Feuer,circular,lila,9.6,"(0.80183804, 0.31448925)"
369,Boden,linear,lila,9.6,"(0.72301674, 0.26597282)"
370,Feuer,circular,blau,9.6,"(-0.99749, -1.8194952)"
371,Feuer,random,grun,6.9,"(0.73907, 0.30242574)"
372,Wasser,circular,grun,6.9,"(1.1122354, 0.2880214)"
373,Wasser,shm,blau,6.9,"(1.8473698, -1.34542)"
374,Luft,random,blau,6.9,"(0.31126902, 0.4571435)"
375,Erde,linear,rot,6.9,"(-0.33676663, 6.3987956)"
376,Erde,linear,lila,6.9,"(0.7595291, 0.17029305)"
377,Boden,random,gelb,9.6,"(-0.51139635, 1.8397393)"
378,Luft,circular,blau,6.9,"(7.3682265, 1.696598)"
379,Luft,linear,grun,9.6,"(0.60108995, 0.25272733)"
380,Luft,circular,rot,6.9,"(3.719729, 2.2630725)"
381,Erde,random,blau,6.9,"(0.66518366, -0.53079414)"
382,Feuer,random,gelb,6.9,"(-0.14886522, 2.0417101)"
383,Erde,linear,lila,9.6,"(0.68471116, 0.28836212)"
384,Boden,circular,gelb,9.6,"(-1.4685744, -2.5018365)"
385,Wasser,circular,gelb,6.9,"(11.2718315, 3.5461242)"
386,Feuer,zigzag,grun,6.9,"(0.7690623, 0.18186502)"
387,Wasser,shm,gelb,9.6,"(3.6002793, 5.1663656)"
388,Wasser,shm,lila,6.9,"(0.7806843, 0.31163013)"
389,Wasser,shm,rot,6.9,"(2.3105817, -1.1401501)"
390,Wasser,circular,grun,6.9,"(0.5706194, 0.34030658)"
391,Erde,circular,blau,9.6,"(-0.82906896, -1.4186859)"
392,Luft,linear,grun,6.9,"(0.7449492, 0.33832544)"
393,Feuer,random,gelb,6.9,"(-2.1548748, -1.7673817)"
394,Erde,circular,grun,9.6,"(0.807118, 0.1793511)"
395,Erde,random,grun,6.9,"(0.7840716, 0.24159884)"
396,Boden,linear,lila,9.6,"(0.7234628, 0.33796182)"
397,Wasser,circular,lila,9.6,"(0.71928895, 0.30520988)"
398,Erde,linear,grun,9.6,"(0.6686377, 0.2882922)"
399,Erde,circular,grun,9.6,"(0.6925763, 0.20786346)"
400,Wasser,circular,rot,9.6,"(0.06318968, -0.45043954)"
401,Feuer,zigzag,grun,6.9,"(0.78813916, 0.18717681)"
402,Feuer,circular,gelb,6.9,"(16.490519, 5.6129)"
403,Luft,zigzag,rot,9.6,"(-5.8325973, 0.5670256)"
404,Luft,circular,grun,6.9,"(1.0610775, 0.23961368)"
405,Feuer,circular,rot,9.6,"(-0.09422972, 1.5349922)"
406,Feuer,linear,blau,9.6,"(-0.54101956, -0.9492857)"
407,Luft,linear,gelb,6.9,"(-1.2512877, -9.41539)"
408,Wasser,random,blau,9.6,"(2.2583995, -1.7589803)"
409,Boden,shm,rot,9.6,"(0.9831719, 2.1249342)"
410,Wasser,linear,gelb,6.9,"(1.5234514, -3.8235831)"
411,Boden,circular,blau,6.9,"(6.0243683, 0.1777458)"
412,Erde,shm,gelb,9.6,"(4.0171585, 6.458498)"
413,Erde,linear,rot,6.9,"(-0.32431528, 6.379406)"
414,Luft,random,gelb,9.6,"(-0.9760425, -1.673753)"
